id,property_id,make,model,license,resident_name,appartment_no,email,created_at,updated_at
100,4,2008-100,2008,4-2008,lorum ipsum,930,random_100@gmail.com,2003-09-28,2006-01-15
101,6,2007-101,2007,6-2007,lorum ipsum,905,random_101@gmail.com,2003-02-27,2019-01-13
102,3,2005-102,2005,3-2005,lorum ipsum,206,random_102@gmail.com,2011-01-24,2018-12-27
103,7,2020-103,2020,7-2020,lorum ipsum,743,random_103@gmail.com,2019-10-18,2001-05-17
104,2,2004-104,2004,2-2004,lorum ipsum,138,random_104@gmail.com,2004-02-25,2017-04-03
105,7,2012-105,2012,7-2012,lorum ipsum,97,random_105@gmail.com,2011-10-08,2000-01-12
106,1,2017-106,2017,1-2017,lorum ipsum,429,random_106@gmail.com,2013-09-14,2005-06-04
107,7,2013-107,2013,7-2013,lorum ipsum,382,random_107@gmail.com,2018-07-27,2019-10-09
108,8,2001-108,2001,8-2001,lorum ipsum,887,random_108@gmail.com,2005-12-02,2005-12-06
109,8,2005-109,2005,8-2005,lorum ipsum,753,random_109@gmail.com,2002-01-18,2008-07-10
110,6,2012-110,2012,6-2012,lorum ipsum,758,random_110@gmail.com,2011-08-02,2019-10-10
111,2,2022-111,2022,2-2022,lorum ipsum,866,random_111@gmail.com,2006-08-19,2011-01-03
112,4,2017-112,2017,4-2017,lorum ipsum,825,random_112@gmail.com,2013-05-07,2003-12-28
113,7,2006-113,2006,7-2006,lorum ipsum,833,random_113@gmail.com,2015-11-27,2004-04-25
114,1,2021-114,2021,1-2021,lorum ipsum,584,random_114@gmail.com,2018-05-19,2006-01-04
115,1,2022-115,2022,1-2022,lorum ipsum,830,random_115@gmail.com,2012-12-08,2015-02-24
116,3,2000-116,2000,3-2000,lorum ipsum,818,random_116@gmail.com,2009-05-13,2006-06-28
117,1,2017-117,2017,1-2017,lorum ipsum,178,random_117@gmail.com,2005-10-14,2000-10-24
118,5,2000-118,2000,5-2000,lorum ipsum,924,random_118@gmail.com,2000-09-28,2004-08-07
119,4,2011-119,2011,4-2011,lorum ipsum,521,random_119@gmail.com,2001-12-21,2001-07-09
120,7,2020-120,2020,7-2020,lorum ipsum,728,random_120@gmail.com,2006-05-20,2004-01-31
121,1,2006-121,2006,1-2006,lorum ipsum,586,random_121@gmail.com,2004-07-02,2016-02-03
122,4,2002-122,2002,4-2002,lorum ipsum,599,random_122@gmail.com,2001-05-25,2013-06-10
123,5,2001-123,2001,5-2001,lorum ipsum,51,random_123@gmail.com,2010-12-07,2008-07-28
124,2,2006-124,2006,2-2006,lorum ipsum,247,random_124@gmail.com,2003-10-13,2002-09-20
125,2,2018-125,2018,2-2018,lorum ipsum,366,random_125@gmail.com,2000-03-28,2006-04-25
126,1,2022-126,2022,1-2022,lorum ipsum,769,random_126@gmail.com,2004-12-16,2018-07-27
127,2,2020-127,2020,2-2020,lorum ipsum,265,random_127@gmail.com,2007-10-05,2006-11-27
128,2,2006-128,2006,2-2006,lorum ipsum,717,random_128@gmail.com,2019-10-02,2003-05-04
129,1,2007-129,2007,1-2007,lorum ipsum,863,random_129@gmail.com,2016-01-14,2002-07-07
130,7,2001-130,2001,7-2001,lorum ipsum,96,random_130@gmail.com,2013-09-05,2004-10-14
